method,domain,setting,accuracy,auc,eer,eer_threshold
Baseline,OULU-NPU,同域,0.9981606376456161,0.9999988579263888,0.0005261844601158591,0.6431871652603149
Baseline,CASIA,跨域,0.28064806480648063,0.23400721796471213,0.6989636428444127,0.6668263673782349
Baseline,MSU-MFSD,跨域,0.609355561084847,0.6408053539993301,0.41681347132010205,0.2510690689086914
Baseline,Replay-Attack,跨域,0.48272503588271476,0.3918927843731768,0.5456287458232414,0.006059753242880106
Strong,OULU-NPU,同域,0.9530524656214417,0.9999705137358578,0.0021037688083084937,0.9995751976966858
Strong,CASIA,跨域,0.6120612061206121,0.4193008970474663,0.5564563654725836,0.02079281397163868
Strong,MSU-MFSD,跨域,0.6822592684747449,0.6015545604217216,0.41684436913701917,0.005922787357121706
Strong,Replay-Attack,跨域,0.4912343653885585,0.3887431216077648,0.5488508609868642,0.0025587501004338264
Appearance,OULU-NPU,同域,0.9740737496715425,0.9996241539570601,0.010721250632899106,0.9334434270858765
Appearance,CASIA,跨域,0.4007200720072007,0.383533594724648,0.5866497356383296,0.5563613772392273
Appearance,MSU-MFSD,跨域,0.5620801194326946,0.5666134519809503,0.45404405996673924,0.39877161383628845
Appearance,Replay-Attack,跨域,0.5551568587246258,0.46499680113324965,0.511434130969008,0.004618384409695864
MixStyle,OULU-NPU,同域,0.9858982219497241,0.9999136869216306,0.005920059692380733,0.9031640291213989
MixStyle,CASIA,跨域,0.3857785778577858,0.32022372720251885,0.6319360779421375,0.3871215283870697
MixStyle,MSU-MFSD,跨域,0.6561333665090818,0.5933035625663182,0.42432084036939055,0.10327348113059998
MixStyle,Replay-Attack,跨域,0.5658704121386098,0.48334808090094233,0.5114761195481146,0.015296855941414833
Fourier,OULU-NPU,同域,0.9853726898484716,0.9997152775879127,0.00881407422301793,0.794865608215332
Fourier,CASIA,跨域,0.336993699369937,0.3167632923424226,0.6458851660428919,0.6236999034881592
Fourier,MSU-MFSD,跨域,0.7529236128390147,0.6574626392563008,0.395777661230572,0.006334339734166861
Fourier,Replay-Attack,跨域,0.6620873487799877,0.6384479087477679,0.41099462104202394,0.033450473099946976
